Name,Profession,Month,Savings Balance,Loan Balance,Net Worth,Net Worth Label
Jack-mil,"Police, Fire, EMT",1,1175.02,0.0,1175.02,"$1,175.02"
Jack-mil,"Police, Fire, EMT",2,2354.8271769282624,0.0,2354.8271769282624,"$2,354.83"
Jack-mil,"Police, Fire, EMT",3,3539.4410343361674,0.0,3539.4410343361674,"$3,539.44"
Jack-mil,"Police, Fire, EMT",4,4728.881155234977,0.0,4728.881155234977,"$4,728.88"
Jack-mil,"Police, Fire, EMT",5,5923.167202419567,0.0,5923.167202419567,"$5,923.17"
Jack-mil,"Police, Fire, EMT",6,7122.3189187934695,0.0,7122.3189187934695,"$7,122.32"
Jack-mil,"Police, Fire, EMT",7,8326.356127695255,0.0,8326.356127695255,"$8,326.36"
Jack-mil,"Police, Fire, EMT",8,9535.298733226226,0.0,9535.298733226226,"$9,535.30"
Jack-mil,"Police, Fire, EMT",9,10749.166720579455,0.0,10749.166720579455,"$10,749.17"
Jack-mil,"Police, Fire, EMT",10,11967.98015637017,0.0,11967.98015637017,"$11,967.98"
Jack-mil,"Police, Fire, EMT",11,13191.75918896747,0.0,13191.75918896747,"$13,191.76"
Jack-mil,"Police, Fire, EMT",12,14420.524048827405,0.0,14420.524048827405,"$14,420.52"
Jack-mil,"Police, Fire, EMT",13,15654.295048827405,0.0,15654.295048827405,"$15,654.30"
Jack-mil,"Police, Fire, EMT",14,16893.09258460208,0.0,16893.09258460208,"$16,893.09"
Jack-mil,"Police, Fire, EMT",15,18136.93713488038,0.0,18136.93713488038,"$18,136.94"
Jack-mil,"Police, Fire, EMT",16,19385.849261824133,0.0,19385.849261824133,"$19,385.85"
Jack-mil,"Police, Fire, EMT",17,20639.849611367954,0.0,20639.849611367954,"$20,639.85"
Jack-mil,"Police, Fire, EMT",18,21898.958913560553,0.0,21898.958913560553,"$21,898.96"
Jack-mil,"Police, Fire, EMT",19,23163.19798290743,0.0,23163.19798290743,"$23,163.20"
Jack-mil,"Police, Fire, EMT",20,24432.58771871495,0.0,24432.58771871495,"$24,432.59"
Jack-mil,"Police, Fire, EMT",21,25707.14910543584,0.0,25707.14910543584,"$25,707.15"
Jack-mil,"Police, Fire, EMT",22,26986.903213016092,0.0,26986.903213016092,"$26,986.90"
Jack-mil,"Police, Fire, EMT",23,28271.871197243257,0.0,28271.871197243257,"$28,271.87"
Jack-mil,"Police, Fire, EMT",24,29562.07430009619,0.0,29562.07430009619,"$29,562.07"
Jack-mil,"Police, Fire, EMT",25,30857.53385009619,0.0,30857.53385009619,"$30,857.53"
Jack-mil,"Police, Fire, EMT",26,32158.271262659604,0.0,32158.271262659604,"$32,158.27"
Jack-mil,"Police, Fire, EMT",27,33464.30804045182,0.0,33464.30804045182,"$33,464.31"
Jack-mil,"Police, Fire, EMT",28,34775.66577374275,0.0,34775.66577374275,"$34,775.67"
Jack-mil,"Police, Fire, EMT",29,36092.36614076376,0.0,36092.36614076376,"$36,092.37"
Jack-mil,"Police, Fire, EMT",30,37414.43090806599,0.0,37414.43090806599,"$37,414.43"
Jack-mil,"Police, Fire, EMT",31,38741.881930880205,0.0,38741.881930880205,"$38,741.88"
Jack-mil,"Police, Fire, EMT",32,40074.7411534781,0.0,40074.7411534781,"$40,074.74"
Jack-mil,"Police, Fire, EMT",33,41413.03060953503,0.0,41413.03060953503,"$41,413.03"
Jack-mil,"Police, Fire, EMT",34,42756.772422494294,0.0,42756.772422494294,"$42,756.77"
Jack-mil,"Police, Fire, EMT",35,44105.988805932815,0.0,44105.988805932815,"$44,105.99"
Jack-mil,"Police, Fire, EMT",36,45460.70206392839,0.0,45460.70206392839,"$45,460.70"
Jack-mil,"Police, Fire, EMT",37,46820.934591428384,0.0,46820.934591428384,"$46,820.93"
Jack-mil,"Police, Fire, EMT",38,48186.708874619966,0.0,48186.708874619966,"$48,186.71"
Jack-mil,"Police, Fire, EMT",39,49558.04749130179,0.0,49558.04749130179,"$49,558.05"
Jack-mil,"Police, Fire, EMT",40,50934.97311125728,0.0,50934.97311125728,"$50,934.97"
Jack-mil,"Police, Fire, EMT",41,52317.508496629336,0.0,52317.508496629336,"$52,317.51"
Jack-mil,"Police, Fire, EMT",42,53705.67650229667,0.0,53705.67650229667,"$53,705.68"
